PAC,long,lat
NODE#433473503,-43.15093623651808,-19.819866701986655
NODE#433472319,-43.15851342945115,-19.822228665220678
NODE#445056499,-43.139094486321426,-19.821028186301703
NODE#445012541,-43.148631319979415,-19.81868901548563
NODE#442498047,-43.16293422053781,-19.82655772635792
NODE#434600302,-43.149979008024786,-19.818923857250184
NODE#433471903,-43.158208383909766,-19.823218638929006
NODE#444956278,-43.167646531362266,-19.83757846387499
NODE#444955513,-43.16983208897966,-19.816946872200333
NODE#424246254,-43.163724074406446,-19.813139091395897
NODE#445010557,-43.16096270426533,-19.812114107080333
NODE#445011476,-43.15708827560337,-19.827227636745988
NODE#442497716,-43.16257133060236,-19.82575016753617
NODE#424247124,-43.15070512244341,-19.816460300302595
NODE#433470798,-43.16760548000883,-19.837739143046974
NODE#445010071,-43.161877417308915,-19.805436088704482
NODE#424245132,-43.16313225484964,-19.814998629483114
NODE#445012290,-43.15120058324027,-19.820971268209405
NODE#442497706,-43.16245011368176,-19.82549588512694
NODE#442898398,-43.15582776513918,-19.81788778429376
NODE#424245900,-43.167992884563944,-19.809841767583464
NODE#433474412,-43.13683695236341,-19.82058598155777
NODE#424245052,-43.15692652803682,-19.818490482050038
NODE#442497917,-43.159432059042274,-19.82165325109662
NODE#442498122,-43.16460982838083,-19.83027890514728
NODE#444896802,-43.18192100435084,-19.808155509069422
NODE#2015114208,-43.15913879282101,-19.831504507526972
NODE#445010197,-43.16166117712157,-19.80687571444264
NODE#445011810,-43.15751269445525,-19.827681493106354
NODE#1214420841,-43.170650246311766,-19.81851523409074
NODE#445009606,-43.16220100777025,-19.82808003576497
NODE#537544008,-43.18592615127085,-19.808851271369008
NODE#424313023,-43.13689572126049,-19.821675024582646
NODE#445011660,-43.16184450392069,-19.808911501664397
NODE#433297643,-43.171194382015074,-19.818072790127133
NODE#445012811,-43.14885239132474,-19.820096250341635
NODE#442497536,-43.16656829279242,-19.832730909403892
NODE#445012056,-43.154325780410375,-19.816505393209297
NODE#424312157,-43.138965506452905,-19.819296707177273
NODE#433473312,-43.15255098004366,-19.817993816161618
NODE#442899901,-43.15554270882893,-19.81845507753974
NODE#424245366,-43.15434241427096,-19.815408316540527
NODE#433473272,-43.15182791072948,-19.82125147357658
NODE#424244623,-43.173931458769744,-19.80801175783631
NODE#424247149,-43.148046262425055,-19.81788904514326
NODE#433471319,-43.16238663593447,-19.8142896741291
NODE#445011097,-43.156877184034784,-19.823044809870055
NODE#424244707,-43.175296938103145,-19.807509169012917
NODE#445010511,-43.170038174022466,-19.81728326271235
NODE#445010582,-43.16017438194211,-19.831282434336856
NODE#445009631,-43.161792899922375,-19.829557300828753
NODE#445010392,-43.15772882132802,-19.82789043619465
NODE#424246773,-43.14688227169944,-19.81843520971711
NODE#445010977,-43.15644695376386,-19.829534570464034
NODE#445010257,-43.16229894304172,-19.809277827909398
NODE#445009691,-43.162802808003164,-19.80955754044811
NODE#424245062,-43.15776428699223,-19.82017968674313
NODE#445012685,-43.14803094157463,-19.818975745434273
NODE#444955504,-43.170372825245636,-19.81809026755178
NODE#424243362,-43.18612919030983,-19.808926180398885
NODE#439761731,-43.18418581112621,-19.80858198736877
NODE#424311723,-43.14990876018112,-19.818344480713165
NODE#445009007,-43.16322599478377,-19.81134095811865
NODE#445009212,-43.16405636580862,-19.81446814458917
NODE#433642874,-43.13857511884663,-19.821449550156558
NODE#439762066,-43.18221693706198,-19.808365541236697
NODE#444895758,-43.18392757259937,-19.808020360751016
NODE#433474657,-43.138175906193055,-19.821486968248962
NODE#445011002,-43.15620999049861,-19.814060699541585
NODE#424246334,-43.16364761854271,-19.813728082584873
